"block number","total gas used","total proving time","gas proven per ms"
21733141,30053829,289854,103
21733118,25192682,245882,102
21733163,26916400,277357,97
21733153,17204817,180634,95
21733292,22350685,236460,94
21733195,24289950,259837,93
21733513,22358142,239586,93
21733501,19670024,214469,91
21733151,17511600,194598,89
21733233,25191838,284569,88
21733156,25951594,296572,87
21733383,29354769,335895,87
21733136,17681175,209422,84
21733234,16691623,197657,84
21733265,29995283,353017,84
21733147,18304944,220434,83
21733466,10587077,131543,80
21733582,29987695,371996,80
21733655,29108696,363459,80
21733096,24221697,304771,79
21733183,21162576,265769,79
21733212,19830392,249877,79
21733225,22515451,282013,79
21733271,22306283,279919,79
21733491,15861116,199113,79
21733646,23498940,294253,79
21733395,30094808,384591,78
21733463,20985331,265803,78
21733487,19935750,254484,78
21733429,17937469,232101,77
21733709,17394307,225277,77
21733110,14078276,183131,76
21733359,19781696,258522,76
21733432,19683295,257699,76
21733469,16924324,220032,76
21733504,8755294,114624,76
21733647,12721594,165852,76
21733721,19405768,254103,76
21733299,19863759,262528,75
21733396,20526673,272995,75
21733411,13828826,182720,75
21733439,18000290,239534,75
21733442,27326457,362317,75
21733656,27315294,359643,75
21733698,29419514,390299,75
21733180,21228858,285747,74
21733276,24208449,325211,74
21733419,20006142,268035,74
21733528,20058952,270787,74
21733534,14935493,199521,74
21733694,26288437,353627,74
21733737,19494345,261864,74
21733755,29997597,404303,74
21733135,18246366,248692,73
21733168,22726787,308939,73
21733406,22903650,313595,73
21733445,18961413,256771,73
21733481,14894289,202612,73
21733546,16704610,228611,73
21733607,29393148,398493,73
21733668,28082647,384604,73
21733702,13169168,177986,73
21733731,12166397,164462,73
21733102,12169474,168031,72
21733178,22302086,305750,72
21733201,21470832,297344,72
21733256,29994051,413531,72
21733289,15729139,216558,72
21733339,18324005,253987,72
21733344,19102876,265108,72
21733368,16261568,223957,72
21733414,9659808,132559,72
21733415,25032813,347146,72
21733472,16768516,230070,72
21733478,25376475,347903,72
