"block number","total gas used","total proving time","gas proven per ms"
21733141,30053829,200100,150
21733118,25192682,169900,148
21733153,17204817,120200,143
21733163,26916400,192500,139
21733292,22350685,162500,137
21733195,24289950,177900,136
21733501,19670024,146400,134
21733513,22358142,166000,134
21733151,17511600,132900,131
21733233,25191838,197700,127
21733156,25951594,205000,126
21733383,29354769,235700,124
21733234,16691623,135200,123
21733265,29995283,245800,122
21733136,17681175,145900,121
21733147,18304944,151900,120
21733466,10587077,88700,119
21733582,29987695,253900,118
21733225,22515451,191100,117
21733504,8755294,74700,117
21733491,15861116,135700,116
21733271,22306283,193800,115
21733646,23498940,202800,115
21733647,12721594,110600,115
21733096,24221697,210900,114
21733212,19830392,172800,114
21733463,20985331,184000,114
21733655,29108696,253300,114
21733183,21162576,185900,113
21733487,19935750,175700,113
21733110,14078276,125400,112
21733395,30094808,266400,112
21733429,17937469,159900,112
21733411,13828826,123500,111
21733469,16924324,152100,111
21733709,17394307,156100,111
21733359,19781696,179300,110
21733432,19683295,178600,110
21733721,19405768,175600,110
21733299,19863759,181300,109
21733396,20526673,187500,109
21733656,27315294,249400,109
21733414,9659808,89300,108
21733439,18000290,166600,108
21733442,27326457,252100,108
21733534,14935493,137100,108
21733731,12166397,112000,108
21733419,20006142,186900,107
21733481,14894289,138700,107
21733607,29393148,274300,107
21733702,13169168,122500,107
21733737,19494345,181800,107
21733120,10158950,95200,106
21733177,9593404,90400,106
21733180,21228858,198700,106
21733201,21470832,201600,106
21733445,18961413,177600,106
21733528,20058952,187800,106
21733694,26288437,246400,106
21733698,29419514,275100,106
21733755,29997597,282100,106
21733102,12169474,115200,105
21733135,18246366,173600,105
21733168,22726787,214700,105
21733276,24208449,229000,105
21733289,15729139,149300,105
21733348,8230055,78100,105
21733406,22903650,218000,105
21733668,28082647,267300,105
21733672,17226694,163400,105
21733256,29994051,287300,104
21733312,12062487,115600,104
21733368,16261568,155200,104
21733472,16768516,159900,104
21733478,25376475,242700,104
21733496,20126655,193500,104
21733507,24000197,229700,104
21733510,15344288,146200,104
21733531,20062441,192900,104
21733546,16704610,159500,104
21733640,24759680,237100,104
21733727,19808226,189600,104
21733736,14044032,133900,104
21733743,20669185,198300,104
21733178,22302086,215000,103
21733324,12860444,123800,103
21733339,18324005,176500,103
21733344,19102876,184800,103
21733345,19136992,185700,103
21733415,25032813,242100,103
21733421,15635159,150600,103
21733455,15985320,154200,103
21733460,13907263,135000,103
21733525,15245830,146800,103
21733566,18400022,177900,103
21733567,16627933,161400,103
21733612,23210462,223800,103
21733615,13843668,133600,103
21733621,10886901,104900,103
21733629,28989035,279800,103
21733630,26305515,254700,103
21733657,15447243,149700,103
21733224,29483390,289000,102
21733280,16100493,157800,102
21733363,16284192,158300,102
21733484,22354753,217200,102
21733490,16973239,165900,102
21733515,16170937,158400,102
21733516,14394860,139800,102
21733548,24275222,237300,102
21733576,15866055,155100,102
21733589,20372487,199000,102
21733618,12097634,118500,102
21733619,18422001,180200,102
21733680,9859989,95900,102
21733742,25822603,252600,102
21733290,15350013,150600,101
21733297,15441397,151400,101
21733331,14713246,145000,101
21733364,14854896,146300,101
21733390,12589921,124500,101
21733433,24463626,241900,101
21733443,18185056,178500,101
21733473,18137264,179300,101
21733489,15480947,152900,101
21733502,17087806,168900,101
21733537,24259875,238700,101
21733601,30141107,298000,101
21733682,21273749,208700,101
21733717,19425285,190800,101
21733185,24253036,240400,100
21733253,12661714,126100,100
21733286,13374408,133600,100
21733303,29983874,298000,100
21733315,29996067,298700,100
21733325,20489238,203400,100
21733374,20643158,205500,100
21733403,11511183,114400,100
21733430,22166950,220400,100
21733468,15484332,154400,100
21733470,14282685,141900,100
21733530,8849568,87800,100
21733533,30028162,300000,100
21733539,27128252,270700,100
21733592,7971521,79500,100
21733609,13529129,135000,100
21733695,13480474,133700,100
21733712,17978335,178300,100
21733723,18706861,186500,100
21733285,18590787,187300,99
21733361,17763683,178300,99
21733408,19885376,200000,99
21733435,17894822,180700,99
21733452,11128309,112300,99
21733493,27958056,282000,99
21733509,13309651,134200,99
21733514,12805190,129300,99
21733522,16274758,164200,99
21733524,11956272,119900,99
21733536,5771304,58000,99
21733564,12623663,126400,99
21733572,18687954,188400,99
21733624,29005044,291000,99
21733652,14278879,142800,99
21733659,14003867,141300,99
21733715,15969766,161300,99
21733757,17350703,173900,99
21733100,15557694,158700,98
21733161,22307761,227200,98
21733179,18023735,183700,98
21733181,15008514,152200,98
21733205,10275339,104300,98
21733279,23756164,242300,98
21733309,18306399,185100,98
21733310,15225329,154300,98
21733313,29992490,306000,98
21733337,30038807,306000,98
21733379,11196878,114200,98
21733389,16764653,170900,98
21733422,12998739,131700,98
21733446,18191915,184200,98
21733453,21892022,222400,98
21733467,21317996,216300,98
21733498,12588888,127200,98
21733549,15448779,157400,98
21733575,17748331,180700,98
21733584,14670856,148600,98
21733600,8740421,88400,98
21733643,21350238,217700,98
21733704,9006410,91500,98
