blockNumber,"constrained sha3","unconstrained sha3",value_difference,percentage_difference
21733256,413531,406941,6590,1.5935927415357
21733668,384604,378614,5990,1.55744610040457
21733559,413365,407619,5746,1.39005479418915
21733224,414245,408729,5516,1.33157913794976
21733123,410207,404785,5422,1.32177169087802
21733539,383971,379081,4890,1.27353367832467
21733630,366959,362162,4797,1.30723050804041
21733419,268035,263502,4533,1.69119704516201
21733412,382076,377561,4515,1.18170206974529
21733185,343223,338726,4497,1.31022687873482
21733208,326748,322494,4254,1.30192074626318
21733538,306369,302187,4182,1.36502061239877
21733755,404303,400126,4177,1.03313603905981
21733724,331404,327298,4106,1.23897116510362
21733603,265406,261338,4068,1.53274605698439
21733655,363459,359443,4016,1.10493893396504
21733334,325407,321505,3902,1.19911372527327
21733107,256775,252890,3885,1.51299776068543
21733187,292347,288483,3864,1.32171700068754
21733582,371996,368180,3816,1.02581748190841
21733705,380358,376598,3760,0.988542373237844
21733717,274836,271096,3740,1.36081153851752
21733178,305750,302062,3688,1.20621422730989
21733193,234859,231174,3685,1.56902652229636
21733643,317464,313780,3684,1.16044653882015
21733629,400068,396408,3660,0.914844476439005
21733223,294766,291132,3634,1.23284232238454
21733604,269090,265485,3605,1.33970047196105
21733627,415453,411901,3552,0.854970357657786
21733626,318499,314975,3524,1.10643989463075
21733298,188962,185448,3514,1.85963315375578
21733170,322378,318865,3513,1.08971455868577
21733366,320079,316566,3513,1.09754154443122
21733163,277357,273851,3506,1.26407482053815
21733179,266365,262904,3461,1.29934488389991
21733242,285675,282233,3442,1.20486566902949
21733662,208516,205122,3394,1.62769283891884
21733424,249524,246189,3335,1.33654478126353
21733417,337929,334601,3328,0.984822255562559
21733308,260624,257315,3309,1.26964515930996
21733719,268310,265006,3304,1.23141142708062
21733757,249898,246630,3268,1.30773355529056
21733357,209057,205804,3253,1.55603495697346
21733354,327773,324536,3237,0.987573717176216
21733285,271155,267926,3229,1.19083181206321
21733217,239067,235870,3197,1.3372820171751
21733423,249863,246676,3187,1.27549897343744
21733571,247094,243921,3173,1.28412668862862
21733589,287234,284067,3167,1.10258534853116
21733464,187840,184711,3129,1.6657793867121
21733440,195213,192109,3104,1.59005803916747
21733244,300868,297787,3081,1.02403711926825
21733586,228241,225183,3058,1.3398118655281
21733168,308939,305890,3049,0.986926221681303
21733365,251873,248831,3042,1.20775152557043
21733413,245452,242421,3031,1.23486465785571
21733411,182720,179690,3030,1.65827495621716
21733493,407263,404233,3030,0.743990983713227
21733408,283749,280730,3019,1.063968507378
21733157,214761,211757,3004,1.39876420765409
